id,name,gender,dob,term,deferral,benefit,issue_date
A001,matt,male,3/15/1978,15,5,500000,1/1/2015
A002,simon,male,1/12/1955,25,0,750000,1/15/2015
A003,steve,male,5/21/1960,10,0,400000,1/20/2015
A004,jamie,female,10/10/1949,15,0,1000000,2/10/2015
A005,katie,female,9/1/1989,25,10,100000,3/5/2015
A006,john,male,5/9/1975,25,0,2000000,3/21/2015
A007,andy,male,7/6/1988,30,0,1000000,4/10/2015
A008,sarah,female,12/5/1980,35,0,2000000,5/12/2015
A009,ronnie,male,6/13/1965,15,0,500000,5/16/2015
A010,walter,male,3/25/1970,12,0,500000,6/2/2015
